particle_index,score,weeks_evaluated,unique_weeks_evaluated
21,1505273874.9452298,96,13
22,1501793432.8585145,96,13
23,1516843504.1377563,96,13
24,1976095017.7244806,96,13
25,1503133631.9968898,96,13
26,1508955760.679198,96,13
27,1572270941.6311848,96,13
28,1499733658.208315,96,13
29,1646759906.8930213,96,13
30,1505523983.5158875,96,13
31,1498494508.4513159,96,13
32,1516197811.2050526,96,13
33,1508342314.8968744,96,13
34,1505055926.3379605,96,13
35,1516561206.8699582,96,13
36,1732372907.4184332,96,13
37,1511168751.0021012,96,13
38,1499808603.1670692,96,13
39,1499796931.1655486,96,13
40,1509175037.1450365,96,13
41,1504847674.0232232,96,13
42,1528668301.1568148,96,13
43,1497696287.1695216,96,13
44,1497815675.4429646,96,13
45,1501599433.399007,96,13
46,1495365065.6465921,96,13
47,1594390656.1103916,96,13
0,1500587895.4303296,96,13
1,1503385649.8780925,96,13
2,1510982728.8830636,96,13
3,1505564153.1504886,96,13
4,1509976347.4733095,96,13
5,1502536020.0893881,96,13
6,1517626605.096177,96,13
7,1497020332.9320936,96,13
8,1510839856.6281843,96,13
9,1498967401.4147842,96,13
10,1499945137.8803978,96,13
11,1495594162.1692169,96,13
12,1504891783.9666235,96,13
13,1503045926.8898704,96,13
14,1501573195.5874493,96,13
15,1499744235.3551323,96,13
16,1512580753.3254154,96,13
17,1500846550.9099998,96,13
18,1505285354.763547,96,13
19,1499092717.637925,96,13
20,1502653017.7651923,96,13
21,1503613096.3959446,96,13
22,1498738847.2363098,96,13
23,1503383127.3252733,96,13
24,1505378537.5632327,96,13
25,1493491519.807934,96,13
26,1498500220.582805,96,13
27,1497998430.9498065,96,13
28,1494109950.497678,96,13
29,1680980726.3655663,96,13
30,1499073671.1433308,96,13
31,1499286840.7538788,96,13
32,1502560378.518401,96,13
33,1498841763.0675461,96,13
34,1510993508.6872482,96,13
35,1514909621.7998943,96,13
36,1510113753.6491168,96,13
37,1497004391.0322196,96,13
38,1496988400.017326,96,13
39,1502345177.8318322,96,13
40,1503796030.8531716,96,13
41,1499027492.0692704,96,13
42,1521965099.6156046,96,13
43,1504835591.1680965,96,13
44,1501935906.988036,96,13
45,1504108262.7103302,96,13
46,1498498820.6736126,96,13
47,1511141677.512739,96,13
0,1495006268.5148726,96,13
1,1497776882.0975761,96,13
2,1493267908.9840431,96,13
3,1501036223.8318794,96,13
4,1497037581.7147038,96,13
5,1503491934.1515436,96,13
6,1498865463.0731227,96,13
7,1495190538.9856212,96,13
8,1512473630.0360813,96,13
9,1497902244.4891815,96,13
10,1505804132.8232539,96,13
11,1503956198.8844974,96,13
12,1504770326.0565844,96,13
13,1513391738.414834,96,13
14,1509306980.7555828,96,13
15,1507003929.0656815,96,13
16,1498217861.0497086,96,13
17,1499969003.9504426,96,13
18,1502041967.7289438,96,13
19,1508411031.8305826,96,13
20,1505682213.2998245,96,13
21,1500054512.8524706,96,13
22,1495131148.6938145,96,13
23,1493968000.241185,96,13
24,1507016085.7220478,96,13
25,1497844572.8268452,96,13
26,1514821134.635792,96,13
27,1496460270.968153,96,13
28,1498977043.2093785,96,13
29,1597382424.1687434,96,13
30,1497066881.782388,96,13
31,1500990060.8585017,96,13
32,1503612508.043113,96,13
33,1509563722.2578983,96,13
34,1506837706.1275241,96,13
35,1525013203.9591954,96,13
36,1507124803.3504126,96,13
37,1533511604.596201,96,13
38,1498011751.4800415,96,13
39,1498677929.6071014,96,13
40,1493538920.3419094,96,13
41,1493146851.4228427,96,13
42,1499097293.567302,96,13
43,1495232520.113823,96,13
44,1500689788.4023583,96,13
45,1497676750.0035553,96,13
46,1499065190.34799,96,13
47,1505228024.3801196,96,13
0,1495224228.791729,96,13
1,1504588707.18274,96,13
2,1489408600.976175,96,13
3,1505565447.916034,96,13
4,1500487278.16068,96,13
5,1494214107.5360615,96,13
6,1507532110.9598007,96,13
7,1496210771.1753948,96,13
8,1498668991.6785305,96,13
9,1491754134.9972649,96,13
10,1506926694.0703554,96,13
11,1489966199.589946,96,13
12,1504949836.0698197,96,13
13,1496316180.244977,96,13
14,1498916654.6567242,96,13
15,1496167746.9170582,96,13
16,1503789149.8517969,96,13
17,1507335045.8691127,96,13
18,1495267046.4775584,96,13
19,1493846556.3751965,96,13
20,1493748365.3568566,96,13
21,1497089911.8086536,96,13
22,1490824550.1525695,96,13
23,1494164225.6897469,96,13
24,1499733429.4121993,96,13
25,1492035739.132579,96,13
26,1510448059.8739903,96,13
27,1506059410.5155208,96,13
28,1505243000.6628056,96,13
29,1536129863.5475616,96,13
30,1494190265.7127266,96,13
31,1507005531.8755577,96,13
32,1498378899.5558312,96,13
33,1492094421.545601,96,13
34,1506049429.1062562,96,13
35,1508237933.494341,96,13
36,1503387456.2240384,96,13
37,1499922508.1483402,96,13
38,1492547707.2036533,96,13
39,1491101238.0521,96,13
40,1492371761.6049511,96,13
41,1495353669.6916702,96,13
42,1493194644.1351223,96,13
43,1495168348.4873111,96,13
44,1488992142.889846,96,13
45,1488132609.405948,96,13
46,1501867248.9362755,96,13
47,1495032979.969675,96,13
0,1498660872.7544029,96,13
1,1497604510.2876365,96,13
2,1498431759.6548197,96,13
